BOR,ZIP,LAT,LNG
MANHATTAN,10001,40.750633,-73.997177
MANHATTAN,10002,40.715775,-73.986212
MANHATTAN,10003,40.731829,-73.989181
MANHATTAN,10004,40.68863,-74.018244
MANHATTAN,10005,40.706027,-74.008835
MANHATTAN,10006,40.709614,-74.012954
MANHATTAN,10007,40.713848,-74.007755
MANHATTAN,10009,40.726399,-73.978631
MANHATTAN,10010,40.739065,-73.982255
MANHATTAN,10011,40.742039,-74.00062
MANHATTAN,10012,40.725581,-73.998078
MANHATTAN,10013,40.720103,-74.004903
MANHATTAN,10014,40.734012,-74.006746
MANHATTAN,10016,40.745224,-73.978297
MANHATTAN,10017,40.75236,-73.972493
MANHATTAN,10018,40.755319,-73.993114
MANHATTAN,10019,40.765823,-73.987169
MANHATTAN,10020,40.758236,-73.978833
MANHATTAN,10021,40.769258,-73.958751
MANHATTAN,10022,40.758628,-73.967948
MANHATTAN,10023,40.775921,-73.982607
MANHATTAN,10024,40.798452,-73.974428
MANHATTAN,10025,40.798601,-73.966622
MANHATTAN,10026,40.802381,-73.952681
MANHATTAN,10027,40.811407,-73.95306
MANHATTAN,10028,40.776441,-73.953509
MANHATTAN,10029,40.791763,-73.94397
MANHATTAN,10030,40.818267,-73.942856
MANHATTAN,10031,40.825288,-73.950045
MANHATTAN,10032,40.838815,-73.942836
MANHATTAN,10033,40.850545,-73.933983
MANHATTAN,10034,40.867076,-73.924312
MANHATTAN,10035,40.795455,-73.929655
MANHATTAN,10036,40.75926,-73.98986
MANHATTAN,10037,40.812957,-73.937376
MANHATTAN,10038,40.709278,-74.002562
MANHATTAN,10039,40.830867,-73.936218
MANHATTAN,10040,40.858305,-73.930549
MANHATTAN,10044,40.761915,-73.949962
MANHATTAN,10065,40.764612,-73.963122
MANHATTAN,10069,40.775906,-73.990358
MANHATTAN,10075,40.773361,-73.956216
MANHATTAN,10103,40.76078,-73.97767
MANHATTAN,10110,40.754499,-73.982256
MANHATTAN,10111,40.759114,-73.977596
MANHATTAN,10112,40.759167,-73.979668
MANHATTAN,10115,40.810852,-73.963744
MANHATTAN,10119,40.75031,-73.992979
MANHATTAN,10128,40.781432,-73.950013
MANHATTAN,10152,40.758404,-73.972031
MANHATTAN,10153,40.763622,-73.972439
MANHATTAN,10154,40.757779,-73.972487
MANHATTAN,10162,40.7693,-73.949915
MANHATTAN,10165,40.752131,-73.978722
MANHATTAN,10167,40.754648,-73.974771
MANHATTAN,10168,40.751448,-73.977103
MANHATTAN,10169,40.754391,-73.976098
MANHATTAN,10170,40.752625,-73.975877
MANHATTAN,10171,40.755899,-73.973858
MANHATTAN,10172,40.755273,-73.974315
MANHATTAN,10173,40.754131,-73.979364
MANHATTAN,10174,40.751441,-73.975003
MANHATTAN,10177,40.755139,-73.975934
MANHATTAN,10199,40.751393,-73.997229
MANHATTAN,10271,40.708205,-74.010504
MANHATTAN,10278,40.715182,-74.003778
MANHATTAN,10279,40.712626,-74.008669
MANHATTAN,10280,40.708538,-74.01665
MANHATTAN,10282,40.716921,-74.015066
STATEN ISLAND,10301,40.627456,-74.094407
STATEN ISLAND,10302,40.630688,-74.137776
STATEN ISLAND,10303,40.629885,-74.17413
STATEN ISLAND,10304,40.609227,-74.092575
STATEN ISLAND,10305,40.596691,-74.074866
STATEN ISLAND,10306,40.571768,-74.12595
STATEN ISLAND,10307,40.509183,-74.237785
STATEN ISLAND,10308,40.551884,-74.147646
STATEN ISLAND,10309,40.531346,-74.219857
STATEN ISLAND,10310,40.632648,-74.116148
STATEN ISLAND,10311,40.605241,-74.179503
STATEN ISLAND,10312,40.545237,-74.180443
STATEN ISLAND,10314,40.599263,-74.165748
BRONX,10451,40.820479,-73.925084
BRONX,10452,40.837393,-73.923437
BRONX,10453,40.852779,-73.912332
BRONX,10454,40.805489,-73.916585
BRONX,10455,40.81471,-73.908593
BRONX,10456,40.829881,-73.90812
BRONX,10457,40.84715,-73.89868
BRONX,10458,40.862543,-73.888143
BRONX,10459,40.825867,-73.892942
BRONX,10460,40.841758,-73.879571
BRONX,10461,40.847381,-73.840584
BRONX,10462,40.84328,-73.860389
BRONX,10463,40.880678,-73.90654
BRONX,10464,40.867787,-73.79992
BRONX,10465,40.822615,-73.822239
BRONX,10466,40.890964,-73.846239
BRONX,10467,40.869953,-73.865746
BRONX,10468,40.868093,-73.89973
BRONX,10469,40.868607,-73.848133
BRONX,10470,40.88953,-73.872662
BRONX,10471,40.898868,-73.903328
BRONX,10472,40.829556,-73.869336
BRONX,10473,40.81869,-73.858474
BRONX,10474,40.810549,-73.884367
BRONX,10475,40.875169,-73.823817
QUEENS,11101,40.747155,-73.93975
QUEENS,11102,40.772884,-73.926295
QUEENS,11103,40.762574,-73.913447
QUEENS,11104,40.744634,-73.920201
QUEENS,11105,40.778877,-73.906769
QUEENS,11106,40.762211,-73.931528
QUEENS,11109,40.745115,-73.956928
BROOKLYN,11201,40.693682,-73.989693
BROOKLYN,11203,40.649591,-73.934371
BROOKLYN,11204,40.618779,-73.984826
BROOKLYN,11205,40.694696,-73.966286
BROOKLYN,11206,40.701954,-73.942358
BROOKLYN,11207,40.670747,-73.894209
BROOKLYN,11208,40.669769,-73.871372
BROOKLYN,11209,40.621982,-74.030324
BROOKLYN,11210,40.628147,-73.946324
BROOKLYN,11211,40.712597,-73.953098
BROOKLYN,11212,40.662936,-73.913029
BROOKLYN,11213,40.671078,-73.936336
BROOKLYN,11214,40.599148,-73.99609
BROOKLYN,11215,40.662688,-73.98674
BROOKLYN,11216,40.680768,-73.949316
BROOKLYN,11217,40.682306,-73.978099
BROOKLYN,11218,40.643468,-73.976046
BROOKLYN,11219,40.632667,-73.996669
BROOKLYN,11220,40.641221,-74.016862
BROOKLYN,11221,40.69134,-73.927879
BROOKLYN,11222,40.72779,-73.947605
BROOKLYN,11223,40.597139,-73.973428
BROOKLYN,11224,40.577372,-73.988706
BROOKLYN,11225,40.663046,-73.954219
BROOKLYN,11226,40.646448,-73.956649
BROOKLYN,11228,40.616695,-74.013047
BROOKLYN,11229,40.601293,-73.944493
BROOKLYN,11230,40.622164,-73.965105
BROOKLYN,11231,40.677916,-74.005154
BROOKLYN,11232,40.656546,-74.007355
BROOKLYN,11233,40.678308,-73.919936
BROOKLYN,11234,40.60508,-73.911721
BROOKLYN,11235,40.583949,-73.949096
BROOKLYN,11236,40.639413,-73.900664
BROOKLYN,11237,40.70416,-73.921139
BROOKLYN,11238,40.679171,-73.963804
BROOKLYN,11239,40.647735,-73.879477
QUEENS,11351,40.780747,-73.825301
QUEENS,11354,40.768208,-73.827403
QUEENS,11355,40.751452,-73.821031
QUEENS,11356,40.78485,-73.841279
QUEENS,11357,40.786393,-73.810864
QUEENS,11358,40.760471,-73.796371
QUEENS,11359,40.791781,-73.776875
QUEENS,11360,40.780379,-73.78123
QUEENS,11361,40.764191,-73.772775
QUEENS,11362,40.756574,-73.737845
QUEENS,11363,40.772616,-73.746526
QUEENS,11364,40.745289,-73.760586
QUEENS,11365,40.739634,-73.79449
QUEENS,11366,40.728152,-73.785019
QUEENS,11367,40.730145,-73.82703
QUEENS,11368,40.751718,-73.851822
QUEENS,11369,40.763365,-73.872374
QUEENS,11370,40.765393,-73.893243
QUEENS,11371,40.773894,-73.873475
QUEENS,11372,40.75169,-73.883638
QUEENS,11373,40.738837,-73.878535
QUEENS,11374,40.726418,-73.861526
QUEENS,11375,40.720934,-73.846151
QUEENS,11377,40.744819,-73.905156
QUEENS,11378,40.724744,-73.909639
QUEENS,11379,40.716748,-73.879601
QUEENS,11385,40.700671,-73.889433
QUEENS,11411,40.694021,-73.736216
QUEENS,11412,40.698095,-73.758986
QUEENS,11413,40.671659,-73.752568
QUEENS,11414,40.657604,-73.844804
QUEENS,11415,40.707917,-73.828212
QUEENS,11416,40.684654,-73.849548
QUEENS,11417,40.676446,-73.844443
QUEENS,11418,40.700272,-73.835971
QUEENS,11419,40.688673,-73.822918
QUEENS,11420,40.673583,-73.81773
QUEENS,11421,40.694062,-73.858626
QUEENS,11422,40.66006,-73.736012
QUEENS,11423,40.715606,-73.768471
QUEENS,11424,40.714304,-73.827263
QUEENS,11425,40.607754,-74.023937
QUEENS,11426,40.736425,-73.722376
QUEENS,11427,40.730904,-73.745661
QUEENS,11428,40.721016,-73.742245
QUEENS,11429,40.709766,-73.738653
QUEENS,11430,40.646964,-73.784813
QUEENS,11432,40.715359,-73.793071
QUEENS,11433,40.698162,-73.786893
QUEENS,11434,40.676808,-73.776425
QUEENS,11435,40.701265,-73.809605
QUEENS,11436,40.675807,-73.796622
QUEENS,11691,40.601278,-73.761651
QUEENS,11692,40.594095,-73.792896
QUEENS,11693,40.590692,-73.809749
QUEENS,11694,40.57827,-73.844762
QUEENS,11697,40.555688,-73.920663
